dong_cluster,month,complaints_per_1000_totalpop_month,outflow_next,complaint_count
고등동,202401,0.2570694087403599,-1.5996718621821164,3.0
고등동,202402,0.2570694087403599,-0.2050861361771944,3.0
고등동,202403,1.0282776349614395,0.2871205906480722,12.0
고등동,202404,0.7712082262210798,-0.2461033634126333,9.0
고등동,202405,0.9425878320479864,0.3281378178835111,11.0
구미동,202401,0.7062951402337609,0.1240135287485907,31.0
구미동,202402,0.5923765692283156,-0.2367531003382187,26.0
구미동,202403,0.6607277118315827,0.1014656144306651,29.0
구미동,202404,0.5240254266250485,0.2367531003382187,23.0
구미동,202405,4.716228839625435,-0.0225479143179255,207.0
금곡동,202401,0.4124948438144523,-0.1345895020188425,11.0
금곡동,202402,0.2999962500468744,-0.15381657373582,8.0
금곡동,202403,0.4874939063261709,-0.0961353585848875,13.0
금곡동,202404,1.2374845314433571,-0.3268602191886176,33.0
금곡동,202405,2.324970937863277,-0.07690828686791,62.0
금광동,202401,2.101723413198823,-0.1661129568106312,90.0
금광동,202402,2.615478025314091,0.3796867584242999,112.0
금광동,202403,3.946569520340012,0.3678215472235405,169.0
금광동,202404,2.872355331371725,0.0949216896060749,123.0
금광동,202405,7.682966699360142,-0.0711912672045562,329.0
단대동,202401,1.5600624024960998,0.8067614291202458,22.0
단대동,202402,1.4891504751099136,0.2305032654629273,21.0
단대동,202403,2.1273578215855906,-0.1536688436419516,30.0
단대동,202404,1.8437101120408448,-0.5762581636573185,26.0
단대동,202405,2.552829385902709,-0.1152516327314636,36.0
도촌동,202401,0.0389317137740403,-0.2933212996389892,1.0
도촌동,202402,0.6229074203846453,-0.6994584837545126,16.0
도촌동,202403,0.7397025617067663,0.0451263537906137,19.0
도촌동,202404,0.4282488515144436,0.2707581227436823,11.0
도촌동,202405,0.3114537101923226,0.2256317689530685,8.0
백현동,202401,0.8018633777540188,-0.2269913330581923,21.0
백현동,202402,0.8400473481232579,0.4746182418489476,22.0
백현동,202403,1.3364389629233648,0.4952538175815105,35.0
백현동,202404,1.2600710221848868,0.2888980602558811,33.0
백현동,202405,4.009316888770095,-0.990507635163021,105.0
복정동,202401,0.2215657311669128,0.404551201011378,3.0
복정동,202402,0.2954209748892171,0.3034134007585335,4.0
복정동,202403,0.4431314623338257,0.1769911504424778,6.0
복정동,202404,2.58493353028065,0.0252844500632111,35.0
복정동,202405,2.7326440177252587,0.6573957016434893,37.0
분당동,202401,0.615839389087326,-0.0867302688638334,15.0
분당동,202402,0.3284476741799072,0.1300954032957502,8.0
분당동,202403,0.3284476741799072,0.9540329575021684,8.0
분당동,202404,0.5337274705423493,0.6721595836947094,13.0
분당동,202405,2.750749271256723,0.6287944492627927,67.0
산성동,202401,0.0,-0.2478314745972738,0.0
산성동,202402,0.4569339730408956,-2.6022304832713754,2.0
산성동,202403,0.0,-0.2478314745972738,0.0
산성동,202404,0.9138679460817912,-0.9913258983890956,4.0
산성동,202405,1.3708019191226868,-0.1239157372986369,6.0
삼평동,202401,1.1479591836734695,-0.1481115773882992,27.0
삼평동,202402,0.5952380952380953,0.2221673660824488,14.0
삼평동,202403,1.1054421768707483,-0.8392989385336953,26.0
삼평동,202404,1.530612244897959,0.0740557886941496,36.0
삼평동,202405,8.20578231292517,0.1234263144902493,193.0
상대원동,202401,1.4920012157046942,0.0602046959662853,54.0
상대원동,202402,1.6025198242754124,-0.0752558699578567,58.0
상대원동,202403,1.5196308678473738,0.3612281757977122,55.0
상대원동,202404,2.7353355621252726,0.6170981336544251,99.0
상대원동,202405,2.8182245185533112,0.7375075255869958,102.0
서현동,202401,0.7740099993724243,0.2496472375990448,37.0
서현동,202402,0.7112524318557413,0.325626831650928,34.0
서현동,202403,0.857686756061335,0.2496472375990448,41.0
서현동,202404,1.44342405288371,-0.1519591881037664,69.0
서현동,202405,7.13344350772964,0.108542277216976,341.0
성남동,202401,4.4665324609964765,-0.7503075030750307,142.0
성남동,202402,4.4665324609964765,-0.5535055350553505,142.0
성남동,202403,7.01434323100151,0.06150061500615,223.0
성남동,202404,6.165072974333166,0.01230012300123,196.0
성남동,202405,16.10468042274786,-0.3567035670356703,512.0
수내동,202401,0.8952551477170994,0.7547728281781856,37.0
수내동,202402,0.7742747223499238,0.547580287109664,32.0
수내동,202403,1.2823925088920614,0.8435696314932662,53.0
수내동,202404,0.9436473178639696,0.6067781559863845,39.0
수내동,202405,3.363255825207481,0.5919786887672044,139.0
수진동,202401,1.1616728088447366,0.8516074089844582,29.0
수진동,202402,1.0414997596539015,1.0857994464551843,26.0
수진동,202403,0.9613843935266784,0.7238662976367894,24.0
수진동,202404,1.9628264701169684,-0.468384074941452,49.0
수진동,202405,4.887037333760615,0.1916116670215031,122.0
시흥동,202401,1.9487750556792875,-0.441696113074205,7.0
시흥동,202402,3.897550111358575,-1.325088339222615,14.0
시흥동,202403,4.4543429844098,-0.0883392226148409,16.0
시흥동,202404,2.783964365256125,0.3533568904593639,10.0
시흥동,202405,3.062360801781737,0.9717314487632508,11.0
신촌동,202401,0.0,1.2552301255230125,0.0
신촌동,202402,0.0,-0.2510460251046025,0.0
신촌동,202403,0.0,0.3347280334728033,0.0
신촌동,202404,0.0,-1.5899581589958158,0.0
신촌동,202405,0.0,1.00418410041841,0.0
신흥동,202401,1.0162413850446224,-1.8169517734609064,55.0
신흥동,202402,0.5173592505681713,-1.2177442737025224,28.0
신흥동,202403,0.5912677149350529,-0.9278051609162076,32.0
신흥동,202404,0.5912677149350529,-0.1836281047646661,32.0
신흥동,202405,3.067201271225587,-0.2319512902290519,166.0
야탑동,202401,0.5805515239477503,0.6166061322746854,34.0
야탑동,202402,0.7171518825236917,0.0,42.0
야탑동,202403,0.8879023307436182,0.3378663738491426,52.0
야탑동,202404,0.8708272859216256,0.641946110313371,51.0
야탑동,202405,5.993340732519423,0.0,351.0
양지동,202401,0.6785795068988917,-1.0,6.0
양지동,202402,0.1130965844831486,0.7647058823529412,1.0
양지동,202403,0.2261931689662972,0.823529411764706,2.0
양지동,202404,0.9047726758651888,0.3529411764705882,8.0
양지동,202405,5.654829224157431,0.823529411764706,50.0
