x_variable,y_variable,n,pearson_r,pearson_p,spearman_r,spearman_p
negative_month_share,youth_outflow_rate,30,0.8775454852054223,1.944920137033672e-10,0.9249227224217382,2.7852858114609873e-13
monthly_outflow_volatility,youth_outflow_rate,30,-0.636793574565635,0.0001546428367978,-0.4776418242491657,0.0076007549670974
internal_moves_per_1000_youth,youth_outflow_rate,30,0.4567654314757513,0.0111690616623546,0.3156840934371523,0.089249716124302
complaints_per_1000_totalpop,youth_outflow_rate,30,0.0641585705456817,0.7362478794033938,0.1528364849833147,0.420068213331106
