analysis,mode,x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,slope,slope_p,r2
same_month_complaint_to_outflow,cross_section_pool,complaints_per_1000_totalpop_month,monthly_outflow_rate,180,0.0422260032385889,0.5735536468344807,0.0515614634806019,0.4918258554325907,0.0152090645860637,0.5735536468344802,0.0017830353495051
lag1_complaint_to_next_outflow,lag_pool,complaints_per_1000_totalpop_month,outflow_next,150,0.0031427590053841,0.9695530334100152,0.0532269913432609,0.5176965077116384,0.0009576170417065,0.9695530334100164,9.876934165986562e-06
lag1_outflow_to_next_complaint,lag_pool,monthly_outflow_rate,complaint_next,150,0.0754036645886504,0.3590989236330502,0.1287334905830971,0.1164133947869375,0.2105986046336305,0.3590989236330496,0.0056857126333976
within_cluster_same_month,demeaned,complaints_per_1000_totalpop_month_demeaned,monthly_outflow_rate_demeaned,180,0.0066444237720118,0.9294600269573492,0.0132711287131934,0.8596511706977371,0.0025457184152328,0.9294600269573494,4.414836726185367e-05
