dong_cluster,axis_type,policy_tier,complaints_per_1000_totalpop,youth_outflow_rate,is_ab_tier
고등동,신축·재정비,D_유지,7.112253641816624,-2.666119770303528,False
백현동,신축·재정비,D_유지,12.677078162587346,-0.1031778786628146,False
삼평동,신축·재정비,C_모니터링,19.430272108843536,-1.2342631449024932,False
시흥동,신축·재정비,C_모니터링,27.83964365256125,-1.2367491166077738,False
신흥동,신축·재정비,D_유지,9.404852090685688,-8.543539190103413,False
운중동,신축·재정비,D_유지,6.371406371406372,-2.1091024421186173,False
위례동,신축·재정비,D_유지,0.0221004243281471,-6.434686550676609,False
판교동,신축·재정비,C_모니터링,14.7773894544902,0.7028926736955934,False
구미동,노후·정체,D_유지,12.62217766740334,0.439684329199549,False
금광동,노후·정체,C_모니터링,29.05048806688151,0.4271476032273374,False
분당동,노후·정체,B_우선개입,8.170135895225192,3.295750216825672,True
상대원동,노후·정체,A_즉시개입,16.025198242754122,2.1372667068031306,True
성남동,노후·정체,C_모니터링,70.99270256668345,-1.205412054120541,False
수내동,노후·정체,B_우선개입,11.420552154661376,4.12905135415125,True
수진동,노후·정체,A_즉시개입,14.981573465790738,2.767724079199489,True
야탑동,노후·정체,C_모니터링,14.51378809869376,1.596418616437199,False
은행동,노후·정체,A_즉시개입,32.52142230618717,1.8225419664268585,True
이매동,노후·정체,B_우선개입,5.84419066001823,3.0575256107171,True
정자동,노후·정체,C_모니터링,12.47683257675468,1.1434708446522206,False
중앙동,노후·정체,C_모니터링,15.05441354292624,0.7994186046511629,False
태평동,노후·정체,B_우선개입,11.43076798575706,4.776622646810901,True
하대원동,노후·정체,C_모니터링,22.242769815585348,-0.1907356948228882,False
금곡동,혼합/전이,D_유지,8.662391720103498,-1.3843491636223804,False
단대동,혼합/전이,C_모니터링,18.50801304779464,0.1536688436419516,False
도촌동,혼합/전이,D_유지,3.698512808533832,0.0902527075812274,False
복정동,혼합/전이,B_우선개입,13.515509601181684,2.680151706700379,True
산성동,혼합/전이,D_유지,7.31094356865433,-2.478314745972739,False
서현동,혼합/전이,B_우선개입,16.798108905298832,1.3350700097688049,True
신촌동,혼합/전이,D_유지,0.8984725965858041,0.0836820083682008,False
양지동,혼합/전이,D_유지,14.137073060393575,1.588235294117647,False
