topic_group,new_redevelopment_complaint_count,new_redevelopment_topic_share,old_stagnant_complaint_count,old_stagnant_topic_share,share_diff_new_minus_old,count_diff_new_minus_old,count_ratio_new_over_old
시설노후/파손,1919,0.906471421823335,9236,0.9340614886731392,-0.0275900668498042,-7317,0.2077739281074058
불법주정차,129,0.0609352857817666,482,0.0487459546925566,0.01218933108921,-353,0.2676348547717842
생활환경,32,0.0151157298063297,51,0.0051577669902912,0.0099579628160384,-19,0.6274509803921569
불법광고물,22,0.0103920642418516,77,0.0077872168284789,0.0026048474133727,-55,0.2857142857142857
공원/녹지,11,0.0051960321209258,26,0.0026294498381877,0.0025665822827381,-15,0.4230769230769231
보행/도로안전,2,0.0009447331128956,2,0.0002022653721682,0.0007424677407273,0,1.0
기타,2,0.0009447331128956,13,0.0013147249190938,-0.0003699918061982,-11,0.1538461538461538
교통서비스,0,0.0,1,0.0001011326860841,-0.0001011326860841,-1,0.0
