month,youth_in,youth_out,youth_net,complaint_count,mean_outflow_rate,mean_complaints_per_1000
202401,4313,4300,13,961.0,0.0681965458814853,1.0255670428054482
202402,4562,4578,-16,918.0,-0.0214682628166075,1.1103718984230084
202403,4421,4411,10,1171.0,-0.0974124990664054,1.3427941352006991
202404,4010,4200,-190,1191.0,0.1004873621409329,1.3839107034671756
202405,3569,3733,-164,3936.0,-0.0063866817238414,3.990462542491797
202406,3318,3436,-118,1074.0,0.1379210712864989,1.2060433181049404
