source,evidence_label,evidence_text,mapped_axis
Seongnam Youth Polarization _standalone_.html,유입 핫스팟 5,신축 / 재개발,신축·재정비
Seongnam Youth Polarization _standalone_.html,유출 핫스팟 5,노후 / 분당 1세대,노후·정체
