model,term,n,coef,pvalue,ci_low,ci_high,r2,adj_r2
M1,const,30,-0.0314665780943214,0.9694727279936104,-1.7007469825649364,1.6378138263762934,0.0041163221744654,-0.0314509520335895
M1,complaints_per_1000_totalpop,30,0.0139235982056283,0.7362478794033938,-0.0699139127200132,0.0977611091312699,0.0041163221744654,-0.0314509520335895
M2,const,30,0.1693621993376501,0.8361608121504127,-1.4948102810122832,1.8335346796875835,0.076353680749757,0.0079354348793685
M2,complaints_per_1000_totalpop,30,0.0295389862761103,0.4832542970473595,-0.055720010643392,0.1147979831956127,0.076353680749757,0.0079354348793685
M2,processing_days_median,30,-1.4649656730595877,0.1577072680675255,-3.5334821012882065,0.6035507551690316,0.076353680749757,0.0079354348793685
M3,const,30,0.0094668520373897,0.9939668008942276,-2.539372313301677,2.5583060173764567,0.0774144496828628,-0.0290377291998837
M3,complaints_per_1000_totalpop,30,0.029809243774948,0.4877523134971738,-0.0572398284194181,0.1168583159693143,0.0774144496828628,-0.0290377291998837
M3,processing_days_median,30,-1.4800925103995903,0.162832245257766,-3.5982479628610538,0.6380629420618733,0.0774144496828628,-0.0290377291998837
M3,total_pop,30,5.3110139004441626e-06,0.8640693787792773,-5.782939546327144e-05,6.845142326415976e-05,0.0774144496828628,-0.0290377291998837
