axis_group,group_total,category_count,top_category,top_share,hhi,entropy,effective_category_count,axis_group_label,axis_group_order
new_redevelopment,2314.0,4,seoul_other,0.3094209161624892,0.2609911186576914,1.363267043567434,3.908943150875,신축·재정비,0
old_stagnant,6816.0,4,gyeonggi_other,0.306631455399061,0.2732526012392823,1.332508240942699,3.790539059137384,노후·정체,1
mixed_other,1938.0,4,gyeonggi_other,0.3116615067079463,0.2687816639881741,1.3453537033328231,3.839544360089836,혼합/전이,2
