dong_cluster,youth_outflow_rate,complaints_per_1000_totalpop,complaints_per_1000_youth_legacy,parking_share,complaint_count
태평동,4.776622646810901,11.43076798575706,52.91748618525803,0.9628318584070796,565
수내동,4.12905135415125,11.420552154661376,69.85348527453012,0.9427966101694916,472
분당동,3.295750216825672,8.170135895225192,43.14830875975716,0.9698492462311558,199
이매동,3.0575256107171,5.84419066001823,34.35776201733648,0.9495412844036696,218
수진동,2.767724079199489,14.981573465790738,79.62529274004685,0.9812834224598932,374
복정동,2.680151706700379,13.515509601181684,46.27054361567636,0.9726775956284152,183
상대원동,2.1372667068031306,16.025198242754122,87.29680915111379,0.9275862068965516,580
은행동,1.8225419664268585,32.52142230618717,154.11670663469224,0.9906639004149378,964
야탑동,1.596418616437199,14.51378809869376,71.79660444294282,0.9541176470588236,850
양지동,1.588235294117647,14.137073060393575,73.52941176470588,0.792,125
