,youth_outflow_rate,complaints_per_1000_totalpop,processing_days_median,complaint_count,total_pop,youth_pop
youth_outflow_rate,1.0,0.0641585705456819,-0.2430350660302961,0.10539871255863316,0.008645598417625864,0.051792052847297945
complaints_per_1000_totalpop,0.0641585705456819,1.0,0.25860927028534003,0.8382310382778717,-0.015366174840375047,0.10698178065964914
processing_days_median,-0.2430350660302961,0.25860927028534003,1.0,0.23809845877166622,0.07803072840317254,0.044023772839853544
complaint_count,0.10539871255863316,0.8382310382778717,0.23809845877166622,1.0,0.466010334505651,0.5694120101005895
total_pop,0.008645598417625864,-0.015366174840375047,0.07803072840317254,0.466010334505651,1.0,0.9732975630263152
youth_pop,0.051792052847297945,0.10698178065964914,0.044023772839853544,0.5694120101005895,0.9732975630263152,1.0
