analysis,mode,x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,slope,slope_p,r2
same_month_complaint_to_outflow,cross_section_pool,complaints_per_1000_totalpop_month,monthly_outflow_rate,180,0.042226003238588924,0.5735536468344807,0.05156146348060196,0.4918258554325907,0.015209064586063744,0.5735536468344802,0.001783035349505191
lag1_complaint_to_next_outflow,lag_pool,complaints_per_1000_totalpop_month,outflow_next,150,0.003142759005384136,0.9695530334100153,0.053226991343260935,0.5176965077116384,0.0009576170417065315,0.9695530334100163,9.876934165986562e-06
lag1_outflow_to_next_complaint,lag_pool,monthly_outflow_rate,complaint_next,150,0.07540366458865047,0.3590989236330502,0.1287334905830971,0.11641339478693756,0.2105986046336305,0.3590989236330496,0.005685712633397677
within_cluster_same_month,demeaned,complaints_per_1000_totalpop_month_demeaned,monthly_outflow_rate_demeaned,180,0.006644423772011852,0.9294600269573491,0.013271128713193414,0.8596511706977371,0.0025457184152328028,0.9294600269573494,4.414836726185367e-05
