topic_group,new_redevelopment_complaint_count,new_redevelopment_topic_share,old_stagnant_complaint_count,old_stagnant_topic_share,share_diff_new_minus_old,count_diff_new_minus_old,count_ratio_new_over_old
시설노후/파손,1919,0.906471421823335,9236,0.9340614886731392,-0.02759006684980425,-7317,0.2077739281074058
불법주정차,129,0.06093528578176665,482,0.04874595469255663,0.012189331089210019,-353,0.2676348547717842
생활환경,32,0.015115729806329713,51,0.0051577669902912624,0.00995796281603845,-19,0.6274509803921569
불법광고물,22,0.010392064241851677,77,0.007787216828478965,0.0026048474133727123,-55,0.2857142857142857
공원/녹지,11,0.0051960321209258385,26,0.0026294498381877023,0.0025665822827381363,-15,0.4230769230769231
보행/도로안전,2,0.000944733112895607,2,0.0002022653721682848,0.0007424677407273223,0,1.0
기타,2,0.000944733112895607,13,0.0013147249190938511,-0.0003699918061982441,-11,0.15384615384615385
교통서비스,0,0.0,1,0.0001011326860841424,-0.0001011326860841424,-1,0.0
