x_variable,y_variable,n,pearson_r,pearson_p,spearman_r,spearman_p
negative_month_share,youth_outflow_rate,30,0.8775454852054223,1.9449201370336717e-10,0.9249227224217382,2.785285811460987e-13
monthly_outflow_volatility,youth_outflow_rate,30,-0.636793574565635,0.00015464283679782008,-0.4776418242491657,0.0076007549670974615
internal_moves_per_1000_youth,youth_outflow_rate,30,0.4567654314757513,0.011169061662354646,0.31568409343715237,0.08924971612430205
complaints_per_1000_totalpop,youth_outflow_rate,30,0.06415857054568173,0.7362478794033938,0.15283648498331479,0.420068213331106
