horizon_months,dong_cluster,end_month,complaint_window,outflow_window
3,고등동,202403,0.5141388174807198,-1.0117582718074924
3,고등동,202404,0.6855184233076264,-0.5058791359037462
3,고등동,202405,0.9140245644101684,-0.054689636313918516
3,고등동,202406,0.7712082262210798,0.12305168170631665
3,구미동,202403,0.6531331404312198,0.04133784291619692
3,구미동,202404,0.5923765692283156,-0.003757985719654272
3,구미동,202405,1.9669939926940223,0.033821871476888386
3,구미동,202406,2.0885071350998303,0.10522360015031944
3,금곡동,202403,0.3999950000624992,-0.29481509966032177
3,금곡동,202404,0.6749915626054674,-0.12818047811318337
3,금곡동,202405,1.3499831252109349,-0.19227071716977504
3,금곡동,202406,1.3874826564667941,-0.16663462154713837
3,금광동,202403,2.8879236529509753,0.011865211200759377
3,금광동,202404,3.1448009590086095,0.19379844961240308
3,금광동,202405,4.833963850357293,0.28080999841797183
3,금광동,202406,4.211230987187272,0.1305173232083531
3,단대동,202403,1.7255235663972013,0.3329491612242284
3,단대동,202404,1.8200728029121163,0.2945319503137405
3,단대동,202405,2.174632439843048,-0.16647458061211426
3,단대동,202406,2.245544367229235,-0.2817262133435779
3,도촌동,202403,0.46718056528848395,-0.15042117930204574
3,도촌동,202404,0.5969529445352851,-0.315884476534296
3,도촌동,202405,0.4931350411378442,-0.12785800240673886
3,도촌동,202406,0.3893171377404033,0.18050541516245486
3,백현동,202403,0.9927832296002138,0.03439262622093823
3,백현동,202404,1.1455191110771699,0.24762690879075525
3,백현동,202405,2.201942291292782,0.4195900398954464
3,백현동,202406,2.061934399938906,-0.06878525244187646
3,복정동,202403,0.32003938946331856,0.606826801517067
3,복정동,202404,1.1078286558345642,0.2949852507374631
3,복정동,202405,1.9202363367799116,0.1685630004214075
3,복정동,202406,2.191038897095027,0.2865571007163928
3,분당동,202403,0.42424491248238017,0.34692107545533396
3,분당동,202404,0.3968742729673879,0.332466030644695
3,분당동,202405,1.20430813865966,0.5854293148308759
3,분당동,202406,1.2590494176896445,0.7516623301532235
3,산성동,202403,0.1523113243469652,-0.3717472118959107
3,산성동,202404,0.4569339730408956,-1.0326311441553078
3,산성동,202405,0.761556621734826,-1.2804626187525816
3,산성동,202406,1.2946462569492043,-0.4543577034283354
3,삼평동,202403,0.949546485260771,-0.19748210318439888
3,삼평동,202404,1.0770975056689343,-0.2550810499465152
3,삼평동,202405,3.613945578231292,-0.18102526125236562
3,삼평동,202406,3.8548752834467117,-0.2139389451164321
3,상대원동,202403,1.5380506359424935,0.14047762392133253
3,상대원동,202404,1.9524954180826863,0.11539233393538029
3,상대원동,202405,2.3577303161753194,0.30102347983142685
3,상대원동,202406,2.2195820554619217,0.5719446116797111
3,서현동,202403,0.7809830624298336,0.3762798943521835
3,서현동,202404,1.004121080266929,0.27497376894967257
3,서현동,202405,3.144851438891562,0.14110496038206882
3,서현동,202406,3.52139684399166,0.06874344223741814
3,성남동,202403,5.315802717664821,-0.3075030750307503
3,성남동,202404,5.88198288877705,-0.41410414104141036
3,성남동,202405,9.761365542694179,-0.15990159901599013
3,성남동,202406,9.499245093105182,-0.0943009430094301
3,수내동,202403,0.9839741263196947,0.6955749593014652
3,수내동,202404,1.0001048497019849,0.7153075822603719
3,수내동,202405,1.8630985506545041,0.6659760248631049
3,수내동,202406,1.7743795720519084,0.6807754920822852
3,수진동,202403,1.0548523206751055,0.7735433964942162
3,수진동,202404,1.3219035410991828,0.8870910510254774
3,수진동,202405,2.603749399134754,0.44709388971684066
3,수진동,202406,2.59039683811355,0.14903129657228023
3,시흥동,202403,3.433556050482554,-0.8244994110718493
3,시흥동,202404,3.711952487008167,-0.618374558303887
3,시흥동,202405,3.433556050482554,-0.3533568904593641
3,시흥동,202406,2.319970304380104,0.4122497055359246
3,신촌동,202403,0.0,0.11157601115760112
3,신촌동,202404,0.0,0.44630404463040446
3,신촌동,202405,0.0,-0.502092050209205
3,신촌동,202406,0.0,-0.08368200836820083
3,신흥동,202403,0.7082894501826155,-2.400051544731162
3,신흥동,202404,0.5666315601460924,-1.3208337360265454
3,신흥동,202405,1.416578900365231,-0.7763925131277988
3,신흥동,202406,1.459692171245912,-0.4477948519699752
3,야탑동,202403,0.7285352457383535,0.20553537742489514
3,야탑동,202404,0.8252938330629785,0.318157502041276
3,야탑동,202405,2.5840234497282224,0.32660416138750453
3,야탑동,202406,2.5783317681208913,0.32660416138750453
3,양지동,202403,0.33928975344944584,-0.1372549019607843
3,양지동,202404,0.4146874764382115,0.19607843137254907
3,양지동,202405,2.261931689662972,0.6470588235294118
3,양지동,202406,2.4881248586292695,0.6666666666666666
3,운중동,202403,0.5007338340671673,-0.5603129294851464
3,운중동,202404,0.5784339117672451,-0.4915953060577229
3,운중동,202405,1.0878010878010878,-0.30130034887408813
3,운중동,202406,0.8806008806008805,-0.14272121788772596
3,위례동,202403,0.0,-1.0724477584461014
3,위례동,202404,0.0,-1.6063702476295683
3,위례동,202405,0.0,-1.6477952683420787
3,위례동,202406,0.0,-1.0724477584461014
3,은행동,202403,3.013741762814025,0.34638955502264857
3,은행동,202404,2.912534017047882,0.21316280309086064
3,은행동,202405,4.992915457796371,0.39968025579536376
3,은행동,202406,4.8467264916897195,0.2611244337863043
3,이매동,202403,0.3485067824781513,0.7407407407407408
3,이매동,202404,0.32169856844137046,0.5726293669556081
3,이매동,202405,1.0365842760888604,0.2994483845547675
3,이매동,202406,1.0276482047432667,0.278434462831626
3,정자동,202403,0.8326841978027882,0.3264051214016468
3,정자동,202404,0.8505913848523106,0.2969233685008529
3,정자동,202405,1.839963469338419,0.2126897887842989
3,정자동,202406,1.7056595664670018,0.0547518268157601
3,중앙동,202403,1.4510278113663846,0.1816860465116279
3,중앙동,202404,1.5316404675534059,0.1816860465116279
3,중앙동,202405,1.894397420395002,0.29069767441860467
3,중앙동,202406,1.612253123740427,0.08478682170542635
3,태평동,202403,0.8901837015456825,0.8991289688114638
3,태평동,202404,0.6608939602384613,1.0552277481190098
3,태평동,202405,1.6792101642793558,0.8897630420530112
3,태평동,202406,1.8815246419033744,0.6930785801255035
3,판교동,202403,0.7091120903611406,0.5226637830044156
3,판교동,202404,0.6711239426632224,0.05406866720735337
3,판교동,202405,1.861419237197994,-0.09912588988014776
3,판교동,202406,2.051359975687585,-0.28836622510588444
3,하대원동,202403,2.6711871372065548,0.12715712988192548
3,하대원동,202404,2.4657112035752813,-0.18165304268846505
3,하대원동,202405,1.9177753805585522,-0.2997275204359673
3,하대원동,202406,1.5924384856423692,-0.1907356948228883
6,고등동,202406,0.6426735218508998,-0.4443532950505879
6,구미동,202406,1.3708201377655251,0.07328072153325817
6,금곡동,202406,0.8937388282646467,-0.23072486060373007
6,금광동,202406,3.549577320069123,0.07119126720455624
6,단대동,202406,1.9855339668132181,0.025611473940325254
6,도촌동,202406,0.42824885151444364,0.015042117930204565
6,백현동,202406,1.5273588147695598,-0.017196313110469114
6,복정동,202406,1.255539143279173,0.44669195111672994
6,분당동,202406,0.8416471650860123,0.5492917028042786
6,산성동,202406,0.7234787906480847,-0.41305245766212306
6,삼평동,202406,2.402210884353741,-0.2057105241504155
6,상대원동,202406,1.8788163457022076,0.35621111780052184
6,서현동,202406,2.151189953210747,0.22251166829480082
6,성남동,202406,7.407523905385002,-0.20090200902009017
6,수내동,202406,1.3791768491858016,0.6881752256918752
6,수진동,202406,1.8226245793943276,0.46128734653324827
6,시흥동,202406,2.8767631774313287,-0.20612485276796236
6,신촌동,202406,0.0,0.01394700139470014
6,신흥동,202406,1.0839908107142637,-1.4239231983505685
6,야탑동,202406,1.6534335069296224,0.2660697694061998
6,양지동,202406,1.4137073060393577,0.2647058823529412
6,운중동,202406,0.6906673573340241,-0.3515170736864362
6,위례동,202406,0.0,-1.0724477584461014
6,은행동,202406,3.930234127251872,0.3037569944044764
6,이매동,202406,0.688077493610709,0.5095876017861833
6,정자동,202406,1.269171882134895,0.19057847410870343
6,중앙동,202406,1.5316404675534059,0.13323643410852712
6,태평동,202406,1.3858541717245287,0.7961037744684837
6,판교동,202406,1.380236033024363,0.11714877894926558
6,하대원동,202406,2.131812811424462,-0.031789282470481385
