horizon_months,n,pearson_r,pearson_p,spearman_r,spearman_p,slope,slope_p,r2,status
3,120,0.08689582335009004,0.34531314602284663,0.12954962345160737,0.1584684416183149,0.0301459354937878,0.34531314602284535,0.00755088411569016,ok
6,30,0.08730050261105445,0.6464322811775545,0.188897542608427,0.317451490672218,0.02908950243093679,0.6464322811775551,0.0076213777561428,ok
12,0,,,,,,,,insufficient_data
