month,dong_cluster,youth_in,youth_out,youth_net,youth_pop,total_pop,monthly_outflow_rate,month_dt,complaint_count,processed_count,processing_days_median,parking_count,parking_share,processed_rate,complaints_per_1000_totalpop_month,negative_net_flag,topic_group,complaint_count_topic,month_cluster_total,topic_share
202406,구미동,178,176,2,8870,43891,-0.02254791431792559,2024-06-01,37.0,35.0,0.0,7.0,0.1555555555555555,0.7777777777777778,1.0252671390490078,0,시설노후/파손,37.0,45.0,0.8222222222222222
202401,금곡동,136,105,31,5201,26667,-0.5960392232263027,2024-01-01,4.0,9.0,0.0,4.0,0.3636363636363636,0.8181818181818182,0.4124948438144523,0,불법주정차,4.0,11.0,0.3636363636363636
202401,금곡동,136,105,31,5201,26667,-0.5960392232263027,2024-01-01,7.0,9.0,0.0,4.0,0.3636363636363636,0.8181818181818182,0.4124948438144523,0,시설노후/파손,7.0,11.0,0.6363636363636364
202402,금곡동,127,120,7,5201,26667,-0.13458950201884254,2024-02-01,1.0,5.0,0.0,4.0,0.5,0.625,0.2999962500468744,0,불법광고물,1.0,8.0,0.125
202402,금곡동,127,120,7,5201,26667,-0.13458950201884254,2024-02-01,4.0,5.0,0.0,4.0,0.5,0.625,0.2999962500468744,0,불법주정차,4.0,8.0,0.5
202402,금곡동,127,120,7,5201,26667,-0.13458950201884254,2024-02-01,3.0,5.0,0.0,4.0,0.5,0.625,0.2999962500468744,0,시설노후/파손,3.0,8.0,0.375
202403,금곡동,142,134,8,5201,26667,-0.15381657373582003,2024-03-01,1.0,10.0,0.0,3.0,0.2307692307692307,0.7692307692307693,0.48749390632617096,0,불법광고물,1.0,13.0,0.0769230769230769
202403,금곡동,142,134,8,5201,26667,-0.15381657373582003,2024-03-01,3.0,10.0,0.0,3.0,0.2307692307692307,0.7692307692307693,0.48749390632617096,0,불법주정차,3.0,13.0,0.2307692307692307
202403,금곡동,142,134,8,5201,26667,-0.15381657373582003,2024-03-01,9.0,10.0,0.0,3.0,0.2307692307692307,0.7692307692307693,0.48749390632617096,0,시설노후/파손,9.0,13.0,0.6923076923076923
202404,금곡동,103,98,5,5201,26667,-0.09613535858488752,2024-04-01,1.0,26.0,0.0,6.0,0.1818181818181818,0.7878787878787878,1.2374845314433571,0,불법광고물,1.0,33.0,0.0303030303030303
202404,금곡동,103,98,5,5201,26667,-0.09613535858488752,2024-04-01,6.0,26.0,0.0,6.0,0.1818181818181818,0.7878787878787878,1.2374845314433571,0,불법주정차,6.0,33.0,0.1818181818181818
202404,금곡동,103,98,5,5201,26667,-0.09613535858488752,2024-04-01,2.0,26.0,0.0,6.0,0.1818181818181818,0.7878787878787878,1.2374845314433571,0,생활환경,2.0,33.0,0.0606060606060606
202404,금곡동,103,98,5,5201,26667,-0.09613535858488752,2024-04-01,24.0,26.0,0.0,6.0,0.1818181818181818,0.7878787878787878,1.2374845314433571,0,시설노후/파손,24.0,33.0,0.7272727272727273
202405,금곡동,134,117,17,5201,26667,-0.3268602191886176,2024-05-01,1.0,48.0,0.0,1.0,0.0161290322580645,0.7741935483870968,2.324970937863277,0,기타,1.0,62.0,0.0161290322580645
202405,금곡동,134,117,17,5201,26667,-0.3268602191886176,2024-05-01,1.0,48.0,0.0,1.0,0.0161290322580645,0.7741935483870968,2.324970937863277,0,불법주정차,1.0,62.0,0.0161290322580645
202405,금곡동,134,117,17,5201,26667,-0.3268602191886176,2024-05-01,60.0,48.0,0.0,1.0,0.0161290322580645,0.7741935483870968,2.324970937863277,0,시설노후/파손,60.0,62.0,0.967741935483871
202406,금곡동,115,111,4,5201,26667,-0.07690828686791001,2024-06-01,1.0,13.0,0.0,1.0,0.0625,0.8125,0.5999925000937488,0,불법주정차,1.0,16.0,0.0625
202406,금곡동,115,111,4,5201,26667,-0.07690828686791001,2024-06-01,15.0,13.0,0.0,1.0,0.0625,0.8125,0.5999925000937488,0,시설노후/파손,15.0,16.0,0.9375
202401,금광동,207,192,15,8428,42822,-0.1779781680113906,2024-01-01,2.0,81.0,1.0,7.0,0.0777777777777777,0.9,2.101723413198823,0,불법광고물,2.0,90.0,0.0222222222222222
202401,금광동,207,192,15,8428,42822,-0.1779781680113906,2024-01-01,7.0,81.0,1.0,7.0,0.0777777777777777,0.9,2.101723413198823,0,불법주정차,7.0,90.0,0.0777777777777777
202401,금광동,207,192,15,8428,42822,-0.1779781680113906,2024-01-01,3.0,81.0,1.0,7.0,0.0777777777777777,0.9,2.101723413198823,0,생활환경,3.0,90.0,0.0333333333333333
202401,금광동,207,192,15,8428,42822,-0.1779781680113906,2024-01-01,78.0,81.0,1.0,7.0,0.0777777777777777,0.9,2.101723413198823,0,시설노후/파손,78.0,90.0,0.8666666666666667
202402,금광동,216,202,14,8428,42822,-0.16611295681063123,2024-02-01,1.0,86.0,1.0,9.0,0.0803571428571428,0.7678571428571429,2.615478025314091,0,불법광고물,1.0,112.0,0.0089285714285714
202402,금광동,216,202,14,8428,42822,-0.16611295681063123,2024-02-01,9.0,86.0,1.0,9.0,0.0803571428571428,0.7678571428571429,2.615478025314091,0,불법주정차,9.0,112.0,0.0803571428571428
202402,금광동,216,202,14,8428,42822,-0.16611295681063123,2024-02-01,102.0,86.0,1.0,9.0,0.0803571428571428,0.7678571428571429,2.615478025314091,0,시설노후/파손,102.0,112.0,0.9107142857142856
202403,금광동,191,223,-32,8428,42822,0.37968675842429994,2024-03-01,9.0,124.0,1.0,9.0,0.0532544378698224,0.7337278106508875,3.946569520340012,1,불법주정차,9.0,169.0,0.0532544378698224
202403,금광동,191,223,-32,8428,42822,0.37968675842429994,2024-03-01,2.0,124.0,1.0,9.0,0.0532544378698224,0.7337278106508875,3.946569520340012,1,생활환경,2.0,169.0,0.0118343195266272
202403,금광동,191,223,-32,8428,42822,0.37968675842429994,2024-03-01,158.0,124.0,1.0,9.0,0.0532544378698224,0.7337278106508875,3.946569520340012,1,시설노후/파손,158.0,169.0,0.9349112426035504
202404,금광동,166,197,-31,8428,42822,0.36782154722354055,2024-04-01,1.0,85.0,0.0,14.0,0.1138211382113821,0.6910569105691057,2.872355331371725,1,불법광고물,1.0,123.0,0.008130081300813
202404,금광동,166,197,-31,8428,42822,0.36782154722354055,2024-04-01,14.0,85.0,0.0,14.0,0.1138211382113821,0.6910569105691057,2.872355331371725,1,불법주정차,14.0,123.0,0.1138211382113821
202404,금광동,166,197,-31,8428,42822,0.36782154722354055,2024-04-01,2.0,85.0,0.0,14.0,0.1138211382113821,0.6910569105691057,2.872355331371725,1,생활환경,2.0,123.0,0.016260162601626
202404,금광동,166,197,-31,8428,42822,0.36782154722354055,2024-04-01,106.0,85.0,0.0,14.0,0.1138211382113821,0.6910569105691057,2.872355331371725,1,시설노후/파손,106.0,123.0,0.8617886178861789
202405,금광동,146,154,-8,8428,42822,0.09492168960607499,2024-05-01,3.0,263.0,1.0,3.0,0.0091185410334346,0.7993920972644377,7.682966699360142,1,불법주정차,3.0,329.0,0.0091185410334346
202405,금광동,146,154,-8,8428,42822,0.09492168960607499,2024-05-01,326.0,263.0,1.0,3.0,0.0091185410334346,0.7993920972644377,7.682966699360142,1,시설노후/파손,326.0,329.0,0.9908814589665652
202406,금광동,174,168,6,8428,42822,-0.07119126720455624,2024-06-01,2.0,58.0,1.0,8.0,0.0898876404494382,0.651685393258427,2.0783709308299474,0,불법광고물,2.0,89.0,0.0224719101123595
202406,금광동,174,168,6,8428,42822,-0.07119126720455624,2024-06-01,8.0,58.0,1.0,8.0,0.0898876404494382,0.651685393258427,2.0783709308299474,0,불법주정차,8.0,89.0,0.0898876404494382
202406,금광동,174,168,6,8428,42822,-0.07119126720455624,2024-06-01,2.0,58.0,1.0,8.0,0.0898876404494382,0.651685393258427,2.0783709308299474,0,생활환경,2.0,89.0,0.0224719101123595
202406,금광동,174,168,6,8428,42822,-0.07119126720455624,2024-06-01,77.0,58.0,1.0,8.0,0.0898876404494382,0.651685393258427,2.0783709308299474,0,시설노후/파손,77.0,89.0,0.8651685393258427
202401,단대동,56,55,1,2603,14102,-0.0384172109104879,2024-01-01,22.0,22.0,1.0,0.0,0.0,1.0,1.5600624024960998,0,시설노후/파손,22.0,22.0,1.0
202402,단대동,59,80,-21,2603,14102,0.8067614291202458,2024-02-01,21.0,12.0,1.0,0.0,0.0,0.5714285714285714,1.4891504751099136,1,시설노후/파손,21.0,21.0,1.0
202403,단대동,63,69,-6,2603,14102,0.23050326546292738,2024-03-01,1.0,27.0,1.0,1.0,0.0333333333333333,0.9,2.1273578215855906,1,공원/녹지,1.0,30.0,0.0333333333333333
202403,단대동,63,69,-6,2603,14102,0.23050326546292738,2024-03-01,1.0,27.0,1.0,1.0,0.0333333333333333,0.9,2.1273578215855906,1,불법주정차,1.0,30.0,0.0333333333333333
202403,단대동,63,69,-6,2603,14102,0.23050326546292738,2024-03-01,28.0,27.0,1.0,1.0,0.0333333333333333,0.9,2.1273578215855906,1,시설노후/파손,28.0,30.0,0.9333333333333332
202404,단대동,82,78,4,2603,14102,-0.1536688436419516,2024-04-01,5.0,22.0,0.0,5.0,0.1923076923076923,0.8461538461538461,1.8437101120408452,0,불법주정차,5.0,26.0,0.1923076923076923
202404,단대동,82,78,4,2603,14102,-0.1536688436419516,2024-04-01,21.0,22.0,0.0,5.0,0.1923076923076923,0.8461538461538461,1.8437101120408452,0,시설노후/파손,21.0,26.0,0.8076923076923077
202405,단대동,84,69,15,2603,14102,-0.5762581636573185,2024-05-01,36.0,20.0,0.0,0.0,0.0,0.5555555555555556,2.552829385902709,0,시설노후/파손,36.0,36.0,1.0
202406,단대동,63,60,3,2603,14102,-0.11525163273146369,2024-06-01,2.0,27.0,0.0,2.0,0.0606060606060606,0.8181818181818182,2.3400936037441498,0,불법주정차,2.0,33.0,0.0606060606060606
202406,단대동,63,60,3,2603,14102,-0.11525163273146369,2024-06-01,31.0,27.0,0.0,2.0,0.0606060606060606,0.8181818181818182,2.3400936037441498,0,시설노후/파손,31.0,33.0,0.9393939393939394
202401,도촌동,69,93,-24,4432,25686,0.5415162454873645,2024-01-01,1.0,1.0,1.0,0.0,0.0,1.0,0.03893171377404033,1,시설노후/파손,1.0,1.0,1.0
202402,도촌동,122,109,13,4432,25686,-0.2933212996389892,2024-02-01,2.0,12.0,1.5,0.0,0.0,0.75,0.6229074203846453,0,불법광고물,2.0,16.0,0.125
202402,도촌동,122,109,13,4432,25686,-0.2933212996389892,2024-02-01,1.0,12.0,1.5,0.0,0.0,0.75,0.6229074203846453,0,생활환경,1.0,16.0,0.0625
202402,도촌동,122,109,13,4432,25686,-0.2933212996389892,2024-02-01,13.0,12.0,1.5,0.0,0.0,0.75,0.6229074203846453,0,시설노후/파손,13.0,16.0,0.8125
202403,도촌동,128,97,31,4432,25686,-0.6994584837545126,2024-03-01,2.0,16.0,1.0,3.0,0.1578947368421052,0.8421052631578947,0.7397025617067663,0,불법광고물,2.0,19.0,0.1052631578947368
202403,도촌동,128,97,31,4432,25686,-0.6994584837545126,2024-03-01,3.0,16.0,1.0,3.0,0.1578947368421052,0.8421052631578947,0.7397025617067663,0,불법주정차,3.0,19.0,0.1578947368421052
