month,dong_cluster,topic_group,complaint_count,month_cluster_total,topic_share
202402,야탑동,불법주정차,6,42,0.14285714285714285
202402,야탑동,시설노후/파손,35,42,0.8333333333333334
202402,양지동,시설노후/파손,1,1,1.0
202402,여수동,시설노후/파손,3,3,1.0
202402,오야동,시설노후/파손,2,2,1.0
202402,운중동,불법주정차,1,15,0.06666666666666667
202402,운중동,시설노후/파손,14,15,0.9333333333333333
202402,은행동,불법주정차,1,88,0.011363636363636364
202402,은행동,시설노후/파손,87,88,0.9886363636363636
202402,이매동,불법주정차,1,7,0.14285714285714285
202402,이매동,시설노후/파손,6,7,0.8571428571428571
202402,정자동,불법광고물,3,40,0.075
202402,정자동,불법주정차,5,40,0.125
202402,정자동,시설노후/파손,32,40,0.8
202402,중앙동,시설노후/파손,38,38,1.0
202402,창곡동,불법광고물,2,17,0.11764705882352941
202402,창곡동,불법주정차,5,17,0.29411764705882354
202402,창곡동,생활환경,1,17,0.058823529411764705
202402,창곡동,시설노후/파손,9,17,0.5294117647058824
202402,태평동,불법주정차,7,34,0.20588235294117646
202402,태평동,시설노후/파손,27,34,0.7941176470588235
202402,판교동,불법주정차,2,19,0.10526315789473684
202402,판교동,시설노후/파손,17,19,0.8947368421052632
202402,하대원동,불법광고물,1,64,0.015625
202402,하대원동,불법주정차,2,64,0.03125
202402,하대원동,시설노후/파손,61,64,0.953125
202403,고등동,불법주정차,1,12,0.08333333333333333
202403,고등동,시설노후/파손,11,12,0.9166666666666666
202403,구미동,불법광고물,1,29,0.034482758620689655
202403,구미동,불법주정차,2,29,0.06896551724137931
202403,구미동,시설노후/파손,26,29,0.896551724137931
202403,궁내동,시설노후/파손,6,6,1.0
202403,금곡동,불법광고물,1,13,0.07692307692307693
202403,금곡동,불법주정차,3,13,0.23076923076923078
202403,금곡동,시설노후/파손,9,13,0.6923076923076923
202403,금광동,불법주정차,9,169,0.05325443786982249
202403,금광동,생활환경,2,169,0.011834319526627219
202403,금광동,시설노후/파손,158,169,0.9349112426035503
202403,금토동,시설노후/파손,3,3,1.0
202403,단대동,공원/녹지,1,30,0.03333333333333333
202403,단대동,불법주정차,1,30,0.03333333333333333
202403,단대동,시설노후/파손,28,30,0.9333333333333333
202403,대장동,시설노후/파손,9,9,1.0
202403,도촌동,불법광고물,2,19,0.10526315789473684
202403,도촌동,불법주정차,3,19,0.15789473684210525
202403,도촌동,시설노후/파손,14,19,0.7368421052631579
202403,백현동,불법주정차,5,35,0.14285714285714285
202403,백현동,생활환경,1,35,0.02857142857142857
202403,백현동,시설노후/파손,29,35,0.8285714285714286
202403,복정동,불법주정차,1,6,0.16666666666666666
202403,복정동,시설노후/파손,5,6,0.8333333333333334
202403,분당동,불법광고물,1,8,0.125
202403,분당동,생활환경,1,8,0.125
202403,분당동,시설노후/파손,6,8,0.75
202403,사송동,시설노후/파손,1,1,1.0
202403,삼평동,불법광고물,1,26,0.038461538461538464
202403,삼평동,불법주정차,2,26,0.07692307692307693
202403,삼평동,시설노후/파손,23,26,0.8846153846153846
202403,상대원동,불법주정차,2,55,0.03636363636363636
202403,상대원동,생활환경,1,55,0.01818181818181818
202403,상대원동,시설노후/파손,52,55,0.9454545454545454
202403,서현동,불법광고물,4,41,0.0975609756097561
202403,서현동,불법주정차,3,41,0.07317073170731707
202403,서현동,생활환경,1,41,0.024390243902439025
202403,서현동,시설노후/파손,33,41,0.8048780487804879
202403,성남동,불법주정차,3,223,0.013452914798206279
202403,성남동,시설노후/파손,220,223,0.9865470852017937
202403,수내동,공원/녹지,1,53,0.018867924528301886
202403,수내동,불법광고물,3,53,0.05660377358490566
202403,수내동,불법주정차,7,53,0.1320754716981132
202403,수내동,생활환경,2,53,0.03773584905660377
202403,수내동,시설노후/파손,40,53,0.7547169811320755
202403,수진동,불법광고물,1,24,0.041666666666666664
202403,수진동,불법주정차,2,24,0.08333333333333333
202403,수진동,시설노후/파손,21,24,0.875
202403,시흥동,시설노후/파손,16,16,1.0
202403,신흥동,불법광고물,1,32,0.03125
202403,신흥동,불법주정차,1,32,0.03125
202403,신흥동,시설노후/파손,30,32,0.9375
202403,심곡동,불법주정차,1,81,0.012345679012345678
202403,심곡동,시설노후/파손,80,81,0.9876543209876543
202403,야탑동,불법광고물,2,52,0.038461538461538464
202403,야탑동,시설노후/파손,50,52,0.9615384615384616
202403,양지동,시설노후/파손,2,2,1.0
202403,여수동,시설노후/파손,13,13,1.0
202403,오야동,시설노후/파손,1,1,1.0
202403,운중동,시설노후/파손,30,30,1.0
202403,은행동,시설노후/파손,92,92,1.0
202403,이매동,불법주정차,2,17,0.11764705882352941
202403,이매동,시설노후/파손,15,17,0.8823529411764706
202403,정자동,불법주정차,3,76,0.039473684210526314
202403,정자동,생활환경,1,76,0.013157894736842105
202403,정자동,시설노후/파손,72,76,0.9473684210526315
202403,중앙동,시설노후/파손,25,25,1.0
202403,창곡동,불법주정차,3,20,0.15
202403,창곡동,시설노후/파손,17,20,0.85
202403,태평동,불법주정차,4,27,0.14814814814814814
202403,태평동,시설노후/파손,23,27,0.8518518518518519
202403,판교동,생활환경,1,12,0.08333333333333333
202403,판교동,시설노후/파손,11,12,0.9166666666666666
