model,term,n,coef,pvalue,ci_low,ci_high,r2,adj_r2
M1,const,30,-0.03146657809432149,0.9694727279936104,-1.7007469825649364,1.6378138263762934,0.004116322174465448,-0.0314509520335895
M1,complaints_per_1000_totalpop,30,0.013923598205628362,0.7362478794033938,-0.06991391272001321,0.09776110913126992,0.004116322174465448,-0.0314509520335895
M2,const,30,0.16936219933765018,0.8361608121504127,-1.4948102810122832,1.8335346796875835,0.07635368074975701,0.007935434879368541
M2,complaints_per_1000_totalpop,30,0.02953898627611035,0.48325429704735956,-0.05572001064339202,0.11479798319561271,0.07635368074975701,0.007935434879368541
M2,processing_days_median,30,-1.4649656730595875,0.1577072680675255,-3.5334821012882065,0.6035507551690316,0.07635368074975701,0.007935434879368541
M3,const,30,0.009466852037389728,0.9939668008942275,-2.5393723133016772,2.5583060173764567,0.07741444968286282,-0.02903772919988379
M3,complaints_per_1000_totalpop,30,0.029809243774948094,0.48775231349717385,-0.05723982841941813,0.11685831596931431,0.07741444968286282,-0.02903772919988379
M3,processing_days_median,30,-1.4800925103995903,0.16283224525776605,-3.5982479628610538,0.6380629420618733,0.07741444968286282,-0.02903772919988379
M3,total_pop,30,5.3110139004441626e-06,0.8640693787792773,-5.7829395463271435e-05,6.845142326415976e-05,0.07741444968286282,-0.02903772919988379
