topic_group,n,pearson_r,pearson_p,spearman_r,spearman_p,slope,slope_p,r2,status,method
생활환경,25,0.048402677384553644,0.8182801878525053,-0.30000000000000004,0.14511308137364481,4.103293843851266,0.8182801878525048,0.0023428191779932828,ok,annual_cross_section
불법주정차,29,-0.43401415697055984,0.01865496280798364,-0.23399014778325114,0.22182262773153086,-7.02115945486733,0.01865496280798367,0.18836828845086573,ok,annual_cross_section
시설노후/파손,29,-0.04532926164523393,0.8153826460139776,0.12167487684729061,0.5295061285339407,-1.679516295227342,0.8153826460139801,0.0020547419613020645,ok,annual_cross_section
불법광고물,24,-0.0653056181991262,0.7617561284995253,-0.04347826086956521,0.8401329841149333,-10.379178186706998,0.7617561284995268,0.004264823768370007,ok,annual_cross_section
보행/도로안전,3,,,,,,,,insufficient_data,annual_cross_section
