origin_dong,dest_dong,n
금광2동,이매1동,2
수진1동,수내3동,2
수진1동,운중동,2
금광2동,수진1동,2
금광2동,수내3동,2
성남동,양지동,2
성남동,신촌동,2
성남동,시흥동,2
산성동,금곡동,2
상대원1동,수내3동,2
상대원1동,신촌동,2
상대원1동,야탑1동,2
상대원1동,야탑2동,2
상대원1동,운중동,2
상대원1동,이매1동,2
산성동,금광1동,2
상대원1동,태평3동,2
상대원2동,고등동,2
백현동,양지동,2
분당동,하대원동,2
상대원2동,단대동,2
분당동,태평4동,2
분당동,이매2동,2
분당동,위례동,2
분당동,야탑2동,2
분당동,신흥3동,2
분당동,신흥1동,2
상대원1동,서현1동,2
상대원1동,상대원2동,2
상대원1동,삼평동,2
상대원1동,복정동,2
산성동,태평3동,2
삼평동,분당동,2
삼평동,상대원1동,2
삼평동,상대원3동,2
삼평동,성남동,2
삼평동,수내1동,2
삼평동,신흥3동,2
산성동,은행2동,2
산성동,양지동,2
산성동,야탑3동,2
삼평동,은행1동,2
삼평동,은행2동,2
삼평동,정자동,2
삼평동,태평1동,2
삼평동,태평4동,2
상대원1동,구미1동,2
산성동,복정동,2
분당동,신촌동,2
상대원2동,위례동,2
상대원2동,은행1동,2
서현1동,수진1동,2
서현1동,신흥3동,2
서현1동,중앙동,2
서현1동,태평3동,2
복정동,구미동,2
서현2동,복정동,2
서현2동,수내1동,2
백현동,하대원동,2
백현동,태평2동,2
서현2동,야탑1동,2
서현2동,은행2동,2
백현동,태평1동,2
서현2동,정자3동,2
서현2동,태평1동,2
백현동,이매2동,2
백현동,은행2동,2
성남동,구미1동,2
성남동,상대원2동,2
서현1동,신흥1동,2
서현1동,수내2동,2
분당동,시흥동,2
서현1동,상대원3동,2
분당동,상대원1동,2
분당동,산성동,2
복정동,정자3동,2
복정동,정자2동,2
상대원3동,단대동,2
상대원3동,도촌동,2
상대원3동,백현동,2
상대원3동,복정동,2
상대원3동,수진2동,2
복정동,야탑3동,2
복정동,신흥1동,2
상대원3동,이매1동,2
상대원3동,정자2동,2
상대원3동,태평2동,2
복정동,수내1동,2
상대원3동,태평3동,2
서현1동,복정동,2
금광1동,야탑2동,2
금광2동,이매2동,2
고등동,정자3동,2
야탑3동,수내3동,2
구미동,은행1동,2
신흥3동,백현동,2
야탑2동,태평3동,2
신흥3동,고등동,2
야탑2동,태평4동,2
고등동,태평2동,2
야탑3동,금곡동,2
구미동,중앙동,2
구미동,태평1동,2
야탑3동,단대동,2
야탑3동,상대원2동,2
신흥2동,은행1동,2
구미동,태평2동,2
신흥2동,운중동,2
신흥2동,수내3동,2
구미동,신흥1동,2
야탑3동,수진1동,2
신흥2동,서현1동,2
야탑2동,금광2동,2
야탑3동,양지동,2
신흥2동,상대원2동,2
야탑3동,운중동,2
야탑3동,이매2동,2
야탑3동,정자3동,2
구미동,태평4동,2
야탑3동,태평1동,2
고등동,은행2동,2
야탑3동,태평2동,2
금곡동,도촌동,2
금곡동,서현2동,2
신흥3동,산성동,2
신흥3동,삼평동,2
신흥1동,정자1동,2
구미1동,은행2동,2
야탑2동,백현동,2
야탑2동,복정동,2
야탑1동,판교동,2
야탑1동,태평4동,2
야탑1동,태평3동,2
야탑1동,은행1동,2
구미1동,수진1동,2
야탑2동,서현2동,2
구미1동,야탑3동,2
야탑1동,시흥동,2
구미1동,양지동,2
구미1동,상대원3동,2
야탑2동,수내2동,2
구미1동,은행1동,2
야탑1동,상대원1동,2
신흥3동,상대원2동,2
야탑2동,시흥동,2
야탑2동,신흥1동,2
야탑1동,백현동,2
금광1동,서현1동,2
신흥3동,정자1동,2
구미1동,복정동,2
구미1동,금광2동,2
신흥3동,은행1동,2
구미동,상대원1동,2
구미동,시흥동,2
야탑2동,은행2동,2
신흥3동,수내1동,2
신흥3동,서현1동,2
야탑2동,정자2동,2
야탑3동,태평4동,2
야탑2동,금곡동,2
금곡동,태평3동,2
신촌동,정자2동,2
양지동,백현동,2
고등동,신흥3동,2
금곡동,야탑1동,2
신촌동,분당동,2
금곡동,야탑3동,2
금광1동,산성동,2
고등동,수진2동,2
금광1동,금곡동,2
고등동,수내3동,2
금광1동,분당동,2
신흥1동,고등동,2
고등동,수내1동,2
시흥동,정자3동,2
금곡동,태평4동,2
신촌동,수내1동,2
시흥동,이매1동,2
시흥동,운중동,2
신촌동,위례동,2
시흥동,은행2동,2
고등동,복정동,2
금곡동,태평2동,2
금곡동,태평1동,2
금광1동,고등동,2
신흥1동,삼평동,2
신흥1동,야탑3동,2
신흥1동,야탑1동,2
고등동,야탑1동,2
양지동,신흥3동,2
시흥동,신흥2동,2
양지동,금곡동,2
신흥1동,수내1동,2
신흥1동,서현1동,2
양지동,도촌동,2
금곡동,수진2동,2
금광1동,구미1동,2
시흥동,신흥3동,2
금곡동,시흥동,2
시흥동,야탑1동,2
신흥1동,복정동,2
신촌동,도촌동,2
금곡동,신흥2동,2
신흥1동,도촌동,2
복정동,정자1동,0
고등동,산성동,0
고등동,상대원1동,0
산성동,태평1동,0
태평1동,정자3동,0
하대원동,상대원3동,0
복정동,이매1동,0
중앙동,이매2동,0
복정동,운중동,0
태평1동,이매1동,0
중앙동,이매1동,0
구미1동,서현2동,0
복정동,야탑2동,0
고등동,금광2동,0
하대원동,삼평동,0
태평1동,중앙동,0
복정동,시흥동,0
산성동,태평2동,0
복정동,수진1동,0
구미1동,상대원1동,0
산성동,백현동,0
복정동,정자동,0
구미1동,금광1동,0
산성동,상대원1동,0
산성동,도촌동,0
고등동,이매1동,0
고등동,이매2동,0
하대원동,운중동,0
산성동,상대원3동,0
산성동,고등동,0
산성동,수진1동,0
고등동,태평1동,0
분당동,태평1동,0
분당동,중앙동,0
산성동,수진2동,0
고등동,태평4동,0
고등동,수내2동,0
태평1동,수내1동,0
분당동,금광1동,0
고등동,서현2동,0
산성동,이매1동,0
태평1동,수내3동,0
하대원동,수내3동,0
산성동,정자2동,0
중앙동,정자동,0
고등동,은행1동,0
태평1동,수진1동,0
분당동,수진2동,0
태평1동,신촌동,0
분당동,수진1동,0
중앙동,정자2동,0
분당동,상대원3동,0
고등동,상대원3동,0
금광1동,수내1동,0
구미1동,하대원동,0
복정동,서현1동,0
금곡동,단대동,0
금광2동,정자2동,0
금곡동,신촌동,0
단대동,구미동,0
판교동,금광2동,0
금곡동,수내3동,0
태평3동,시흥동,0
금곡동,수내2동,0
단대동,삼평동,0
단대동,상대원2동,0
태평3동,서현2동,0
태평3동,금곡동,0
금곡동,금광1동,0
단대동,수내3동,0
단대동,야탑1동,0
태평3동,산성동,0
단대동,이매2동,0
단대동,정자1동,0
단대동,정자2동,0
단대동,태평2동,0
태평3동,단대동,0
태평3동,야탑2동,0
태평3동,양지동,0
금곡동,신흥3동,0
태평3동,은행1동,0
금광1동,수진1동,0
태평4동,서현2동,0
금광1동,삼평동,0
금광1동,정자3동,0
태평4동,산성동,0
금광1동,정자동,0
태평4동,단대동,0
금광1동,백현동,0
금광2동,분당동,0
금광2동,삼평동,0
태평4동,운중동,0
태평4동,정자1동,0
태평4동,정자2동,0
금광2동,신촌동,0
태평3동,정자1동,0
금곡동,중앙동,0
금광2동,야탑2동,0
금곡동,이매2동,0
금곡동,은행2동,0
구미동,태평3동,0
태평3동,구미1동,0
복정동,상대원3동,0
복정동,금곡동,0
판교동,태평2동,0
판교동,태평4동,0
구미1동,중앙동,0
태평2동,서현2동,0
구미1동,이매1동,0
백현동,태평3동,0
태평2동,산성동,0
구미1동,위례동,0
복정동,구미1동,0
복정동,분당동,0
판교동,수내2동,0
복정동,산성동,0
복정동,상대원2동,0
하대원동,백현동,0
태평2동,금곡동,0
태평2동,구미동,0
태평2동,고등동,0
구미1동,야탑2동,0
구미1동,신흥3동,0
구미1동,신흥2동,0
판교동,중앙동,0
구미동,금광1동,0
구미동,금광2동,0
구미동,단대동,0
판교동,수내3동,0
도촌동,신흥1동,0
판교동,수진2동,0
도촌동,양지동,0
도촌동,정자3동,0
판교동,신촌동,0
백현동,금광1동,0
백현동,금광2동,0
판교동,신흥1동,0
구미동,이매2동,0
백현동,복정동,0
백현동,상대원3동,0
태평2동,양지동,0
구미동,신촌동,0
백현동,시흥동,0
백현동,신촌동,0
백현동,신흥3동,0
구미동,수진2동,0
구미동,성남동,0
산성동,하대원동,0
양지동,운중동,0
삼평동,금광1동,0
시흥동,태평2동,0
은행2동,야탑3동,0
시흥동,판교동,0
신촌동,백현동,0
신촌동,삼평동,0
신촌동,서현1동,0
신촌동,수내2동,0
신촌동,시흥동,0
은행2동,수내3동,0
신촌동,야탑1동,0
신촌동,야탑3동,0
신촌동,이매1동,0
신촌동,중앙동,0
신촌동,태평4동,0
은행2동,분당동,0
신촌동,판교동,0
은행2동,백현동,0
신흥1동,백현동,0
신흥1동,산성동,0
은행2동,구미동,0
신흥1동,상대원2동,0
신흥1동,수내3동,0
은행1동,태평2동,0
신흥1동,운중동,0
신흥1동,정자2동,0
신흥1동,정자3동,0
은행1동,양지동,0
신흥2동,고등동,0
신흥2동,분당동,0
은행1동,시흥동,0
고등동,구미동,0
시흥동,야탑2동,0
수진1동,삼평동,0
은행2동,정자3동,0
수진1동,서현1동,0
이매1동,태평1동,0
수진1동,야탑2동,0
수진1동,이매1동,0
수진1동,정자3동,0
수진1동,정자동,0
수진1동,태평3동,0
이매1동,은행1동,0
수진2동,금곡동,0
이매1동,양지동,0
이매1동,수진2동,0
이매1동,수내3동,0
이매1동,수내2동,0
수진2동,야탑2동,0
수진2동,양지동,0
수진2동,은행2동,0
수진2동,정자3동,0
이매1동,상대원2동,0
이매1동,상대원1동,0
시흥동,구미1동,0
시흥동,구미동,0
시흥동,금곡동,0
시흥동,복정동,0
시흥동,분당동,0
시흥동,수내3동,0
이매1동,구미1동,0
이매1동,고등동,0
시흥동,신촌동,0
시흥동,신흥1동,0
은행1동,수내2동,0
신흥2동,정자1동,0
신흥2동,정자동,0
신흥2동,태평1동,0
위례동,금곡동,0
야탑2동,성남동,0
야탑2동,수내1동,0
운중동,태평3동,0
야탑2동,신흥3동,0
운중동,정자동,0
야탑2동,태평1동,0
야탑2동,태평2동,0
운중동,은행2동,0
야탑3동,구미1동,0
운중동,신흥1동,0
운중동,수진1동,0
운중동,수내2동,0
야탑3동,정자동,0
운중동,상대원1동,0
운중동,복정동,0
양지동,구미동,0
운중동,금광2동,0
양지동,산성동,0
운중동,구미1동,0
양지동,삼평동,0
양지동,하대원동,0
양지동,판교동,0
양지동,태평4동,0
양지동,태평3동,0
양지동,상대원1동,0
양지동,상대원3동,0
양지동,수내1동,0
양지동,정자3동,0
야탑2동,상대원2동,0
야탑2동,분당동,0
야탑2동,구미동,0
위례동,정자1동,0
신흥2동,판교동,0
은행1동,산성동,0
은행1동,복정동,0
신흥3동,구미1동,0
신흥3동,금광1동,0
신흥3동,분당동,0
은행1동,구미동,0
신흥3동,상대원3동,0
신흥3동,시흥동,0
신흥3동,야탑2동,0
신흥3동,야탑3동,0
신흥3동,운중동,0
신흥3동,이매1동,0
위례동,이매1동,0
야탑1동,태평2동,0
신흥3동,정자2동,0
위례동,운중동,0
야탑1동,금광1동,0
야탑1동,복정동,0
위례동,야탑1동,0
위례동,신흥3동,0
위례동,신흥1동,0
야탑1동,수내1동,0
야탑1동,수내2동,0
야탑1동,수내3동,0
야탑1동,신촌동,0
야탑1동,신흥3동,0
야탑1동,중앙동,0
수진1동,상대원2동,0
이매2동,금광1동,0
중앙동,야탑3동,0
정자동,복정동,0
상대원2동,양지동,0
상대원2동,이매1동,0
상대원2동,정자2동,0
상대원2동,중앙동,0
상대원2동,태평2동,0
상대원2동,태평3동,0
상대원2동,태평4동,0
정자3동,판교동,0
정자3동,태평3동,0
상대원2동,판교동,0
상대원2동,하대원동,0
상대원3동,고등동,0
상대원3동,구미동,0
정자3동,이매2동,0
상대원3동,산성동,0
상대원3동,삼평동,0
상대원3동,수내1동,0
상대원3동,야탑1동,0
양지동,야탑3동,0
정자3동,수진2동,0
상대원3동,운중동,0
정자3동,수내2동,0
정자3동,수내1동,0
상대원3동,태평1동,0
정자3동,상대원3동,0
서현1동,금광1동,0
서현1동,단대동,0
서현1동,양지동,0
서현1동,태평2동,0
상대원2동,야탑1동,0
상대원2동,신촌동,0
수진1동,산성동,0
상대원2동,수진2동,0
중앙동,야탑1동,0
삼평동,단대동,0
중앙동,신흥1동,0
중앙동,시흥동,0
중앙동,수내1동,0
삼평동,수내2동,0
중앙동,상대원2동,0
삼평동,수내3동,0
삼평동,수진2동,0
중앙동,분당동,0
중앙동,복정동,0
중앙동,백현동,0
삼평동,양지동,0
삼평동,중앙동,0
삼평동,태평2동,0
상대원1동,구미동,0
정자동,태평3동,0
상대원1동,분당동,0
상대원1동,수진1동,0
상대원1동,정자1동,0
정자동,수진2동,0
상대원1동,판교동,0
정자동,수내2동,0
상대원2동,도촌동,0
상대원2동,삼평동,0
상대원2동,서현1동,0
상대원2동,수내3동,0
상대원2동,수진1동,0
정자동,상대원1동,0
정자3동,고등동,0
정자2동,판교동,0
서현1동,하대원동,0
서현2동,고등동,0
수내2동,수내3동,0
정자1동,산성동,0
수내2동,수진1동,0
정자1동,복정동,0
수내2동,신흥3동,0
수내2동,야탑2동,0
정자1동,금광2동,0
수내2동,운중동,0
수내2동,이매1동,0
수내2동,이매2동,0
수내2동,정자2동,0
수내2동,판교동,0
이매2동,태평3동,0
이매2동,태평1동,0
이매2동,중앙동,0
이매2동,정자동,0
이매2동,정자2동,0
수내3동,고등동,0
수내3동,복정동,0
수내3동,상대원1동,0
수내3동,수진1동,0
수내3동,신흥1동,0
수내3동,신흥2동,0
수내3동,야탑2동,0
이매2동,수내3동,0
이매2동,수내2동,0
이매2동,상대원1동,0
수진1동,고등동,0
이매2동,단대동,0
정자1동,상대원1동,0
수내2동,서현1동,0
수내2동,금광1동,0
정자2동,고등동,0
서현2동,금광2동,0
정자2동,이매2동,0
서현2동,도촌동,0
서현2동,수내2동,0
서현2동,수내3동,0
서현2동,수진2동,0
정자2동,야탑1동,0
정자2동,수내3동,0
서현2동,이매2동,0
서현2동,태평3동,0
서현2동,태평4동,0
성남동,수내3동,0
성남동,판교동,0
정자1동,하대원동,0
수내2동,금곡동,0
수내1동,금광1동,0
정자1동,태평4동,0
정자1동,태평3동,0
수내1동,도촌동,0
수내1동,수진1동,0
수내1동,수진2동,0
정자1동,은행2동,0
수내1동,신흥3동,0
수내1동,양지동,0
정자1동,신흥1동,0
수내2동,고등동,0
수내2동,구미동,0
정자1동,수진1동,0
시흥동,태평3동,0
